accuracy,f1-score,mcc,precision,recall,runtime
1.0,1.0,1.0,1.0,1.0,0.2071068286895752
0.9655172413793104,0.975,0.9194444444444444,0.975,0.975,0.18943524360656738
0.896551724137931,0.90625,0.7930411287726411,0.9354838709677419,0.8787878787878788,0.18778395652770996
0.9482758620689655,0.9620253164556963,0.8875837301622763,0.926829268292683,1.0,0.2327280044555664
0.9310344827586207,0.9473684210526315,0.8473684210526315,0.9473684210526315,0.9473684210526315,0.2551429271697998
0.9642857142857143,0.967741935483871,0.9302605094190635,1.0,0.9375,0.3663756847381592
0.9464285714285714,0.9577464788732395,0.8852704127574261,0.9714285714285714,0.9444444444444444,0.30585575103759766
0.9818181818181818,0.9859154929577464,0.9610468828892329,0.9722222222222222,1.0,0.22414731979370117
0.9272727272727272,0.9428571428571428,0.8456883037276631,0.9166666666666666,0.9705882352941176,0.23045825958251953
0.9090909090909091,0.9315068493150684,0.8030239178562929,0.8947368421052632,0.9714285714285714,0.18956899642944336
